"start_time","end_time","o3","flag_o3","o3std","flag_o3std","jd","day","time.dec","time","hour","min","date"
2,2.041667,43.2,0,0.6,0,2,2018-01-03,0,0.01,0,0,2018-01-03 00:00:00
2.041667,2.083333,44.2,0,0.4,0,2,2018-01-03,0.0416669999999999,60.0104799999999,1,0,2018-01-03 01:00:00
2.083333,2.125,43.1,0,0.6,0,2,2018-01-03,0.0833330000000001,120.00952,2,0,2018-01-03 02:00:00
2.125,2.166667,42.6,0,0.3,0,2,2018-01-03,0.125,180.01,3,0,2018-01-03 03:00:00
2.166667,2.208333,42.4,0,0.3,0,2,2018-01-03,0.166667,240.01048,4,0,2018-01-03 04:00:00
2.208333,2.25,43.7,0.39,4.6,0.39,2,2018-01-03,0.208333,300.00952,5,0,2018-01-03 05:00:00
2.25,2.291667,42.6,0,0.4,0,2,2018-01-03,0.25,360.01,6,0,2018-01-03 06:00:00
2.291667,2.333333,42.2,0,0.5,0,2,2018-01-03,0.291667,420.01048,7,0,2018-01-03 07:00:00
2.333333,2.375,41.6,0,0.8,0,2,2018-01-03,0.333333,480.00952,8,0,2018-01-03 08:00:00
2.375,2.416667,41.4,0,0.7,0,2,2018-01-03,0.375,540.01,9,0,2018-01-03 09:00:00
2.416667,2.458333,40.8,0,0.6,0,2,2018-01-03,0.416667,600.01048,10,0,2018-01-03 10:00:00
2.458333,2.5,40.7,0,0.4,0,2,2018-01-03,0.458333,660.00952,11,0,2018-01-03 11:00:00
2.5,2.541667,40.8,0,0.4,0,2,2018-01-03,0.5,720.01,12,0,2018-01-03 12:00:00
2.541667,2.583333,41.3,0,0.5,0,2,2018-01-03,0.541667,780.01048,13,0,2018-01-03 13:00:00
2.583333,2.625,40.9,0,1.2,0,2,2018-01-03,0.583333,840.00952,14,0,2018-01-03 14:00:00
2.625,2.666667,44.1,0,0.9,0,2,2018-01-03,0.625,900.01,15,0,2018-01-03 15:00:00
2.666667,2.708333,44.5,0,0.7,0,2,2018-01-03,0.666667,960.01048,16,0,2018-01-03 16:00:00
2.708333,2.75,43.8,0,0.4,0,2,2018-01-03,0.708333,1020.00952,17,0,2018-01-03 17:00:00
2.75,2.791667,43.1,0,0.5,0,2,2018-01-03,0.75,1080.01,18,0,2018-01-03 18:00:00
2.791667,2.833333,41.6,0,0.7,0,2,2018-01-03,0.791667,1140.01048,19,0,2018-01-03 19:00:00
2.833333,2.875,41.9,0,0.6,0,2,2018-01-03,0.833333,1200.00952,20,0,2018-01-03 20:00:00
2.875,2.916667,42,0,0.4,0,2,2018-01-03,0.875,1260.01,21,0,2018-01-03 21:00:00
2.916667,2.958333,41.3,0,0.3,0,2,2018-01-03,0.916667,1320.01048,22,0,2018-01-03 22:00:00
2.958333,3,41.2,0,0.5,0,2,2018-01-03,0.958333,1380.00952,23,0,2018-01-03 23:00:00
3,3.041667,41.4,0,0.6,0,3,2018-01-04,0,0.01,0,0,2018-01-04 00:00:00
3.041667,3.083333,42.2,0,0.5,0,3,2018-01-04,0.0416669999999999,60.0104799999999,1,0,2018-01-04 01:00:00
3.083333,3.125,42.5,0,0.3,0,3,2018-01-04,0.0833330000000001,120.00952,2,0,2018-01-04 02:00:00
3.125,3.166667,42.5,0,0.4,0,3,2018-01-04,0.125,180.01,3,0,2018-01-04 03:00:00
3.166667,3.208333,42.8,0,0.4,0,3,2018-01-04,0.166667,240.01048,4,0,2018-01-04 04:00:00
3.208333,3.25,43.4,0,0.4,0,3,2018-01-04,0.208333,300.00952,5,0,2018-01-04 05:00:00
3.25,3.291667,44.5,0.39,5,0.39,3,2018-01-04,0.25,360.01,6,0,2018-01-04 06:00:00
3.291667,3.333333,42.7,0,0.4,0,3,2018-01-04,0.291667,420.01048,7,0,2018-01-04 07:00:00
3.333333,3.375,41.8,0,0.3,0,3,2018-01-04,0.333333,480.00952,8,0,2018-01-04 08:00:00
3.375,3.416667,40.9,0,0.3,0,3,2018-01-04,0.375,540.01,9,0,2018-01-04 09:00:00
3.416667,3.458333,40.6,0,0.3,0,3,2018-01-04,0.416667,600.01048,10,0,2018-01-04 10:00:00
3.458333,3.5,39.6,0,0.4,0,3,2018-01-04,0.458333,660.00952,11,0,2018-01-04 11:00:00
3.5,3.541667,37.9,0,0.5,0,3,2018-01-04,0.5,720.01,12,0,2018-01-04 12:00:00
3.541667,3.583333,36.3,0,0.7,0,3,2018-01-04,0.541667,780.01048,13,0,2018-01-04 13:00:00
3.583333,3.625,34.9,0,0.4,0,3,2018-01-04,0.583333,840.00952,14,0,2018-01-04 14:00:00
3.625,3.666667,34.4,0,0.2,0,3,2018-01-04,0.625,900.01,15,0,2018-01-04 15:00:00
3.666667,3.708333,34.2,0,0.3,0,3,2018-01-04,0.666667,960.01048,16,0,2018-01-04 16:00:00
3.708333,3.75,34.1,0,0.3,0,3,2018-01-04,0.708333,1020.00952,17,0,2018-01-04 17:00:00
3.75,3.791667,34.2,0,0.6,0,3,2018-01-04,0.75,1080.01,18,0,2018-01-04 18:00:00
3.791667,3.833333,35.2,0,0.4,0,3,2018-01-04,0.791667,1140.01048,19,0,2018-01-04 19:00:00
3.833333,3.875,35.6,0,0.2,0,3,2018-01-04,0.833333,1200.00952,20,0,2018-01-04 20:00:00
3.875,3.916667,36,0,0.3,0,3,2018-01-04,0.875,1260.01,21,0,2018-01-04 21:00:00
3.916667,3.958333,35.9,0,0.4,0,3,2018-01-04,0.916667,1320.01048,22,0,2018-01-04 22:00:00
3.958333,4,36.2,0,0.3,0,3,2018-01-04,0.958333,1380.00952,23,0,2018-01-04 23:00:00
4,4.041667,35.9,0,0.4,0,4,2018-01-05,0,0.01,0,0,2018-01-05 00:00:00
4.041667,4.083333,35.2,0,0.4,0,4,2018-01-05,0.0416670000000003,60.0104800000005,1,0,2018-01-05 01:00:00
4.083333,4.125,36.6,0,0.4,0,4,2018-01-05,0.0833329999999997,120.00952,2,0,2018-01-05 02:00:00
4.125,4.166667,36.3,0,0.4,0,4,2018-01-05,0.125,180.01,3,0,2018-01-05 03:00:00
4.166667,4.208333,35.9,0,0.4,0,4,2018-01-05,0.166667,240.01048,4,0,2018-01-05 04:00:00
4.208333,4.25,35.7,0,0.3,0,4,2018-01-05,0.208333,300.009519999999,5,0,2018-01-05 05:00:00
4.25,4.291667,36.2,0,0.4,0,4,2018-01-05,0.25,360.01,6,0,2018-01-05 06:00:00
4.291667,4.333333,37.7,0.39,5.9,0.39,4,2018-01-05,0.291667,420.01048,7,0,2018-01-05 07:00:00
